case	All Nucleus	Nucleus Low	Nucleus Medium	Nucleus High
12	1108	112	0	0
12	1017	201	4	2
136	272	92	11	7
136	90	73	3	3
322	914	104	94	22
322	983	117	76	20
393	471	253	2	0
393	0	0	0	0
618	685	146	55	55
618	1364	634	164	42
12	1200	80	15	4
12	809	190	1	0
136	260	154	3	5
136	0	0	0	0
322	1051	87	94	30
322	0	0	0	0
393	15	15	0	0
393	7	7	0	0
618	822	160	95	29
618	0	0	0	0
42	784	233	60	33
42	1046	326	110	70
150	780	183	89	22
150	1049	249	44	7
366	0	0	0	0
366	17	14	0	0
399	1047	388	81	22
399	1004	258	86	20
631	27	17	2	0
631	476	345	4	2
42	1	1	0	0
42	326	253	6	4
150	653	102	15	2
150	31	16	5	1
366	0	0	0	0
366	1	1	0	0
399	1008	266	113	16
399	94	80	0	3
631	92	39	4	3
631	0	0	0	0
125	687	218	22	29
125	812	161	14	20
203	13	0	0	0
203	49	0	0	0
374	271	91	10	1
374	1121	132	15	12
478	1319	175	123	29
478	794	181	82	28
654	668	149	19	4
654	893	168	15	2
125	837	102	7	8
125	419	246	1	0
203	337	33	4	0
203	1	1	0	0
374	1229	133	26	19
374	0	0	0	0
478	1278	317	149	27
478	294	185	5	0
654	220	44	0	0
654	3	2	0	0
20	160	76	5	9
20	193	139	3	1
142	774	456	6	0
142	374	117	21	8
257	58	50	0	1
257	326	131	6	1
351	762	97	50	22
351	1065	229	93	19
584	440	43	12	20
584	836	165	42	65
20	398	296	8	7
20	35	35	0	0
142	478	111	83	41
142	3	3	0	0
257	636	252	10	3
257	89	85	0	0
351	756	146	52	17
351	1	1	0	0
584	479	98	15	21
584	124	97	1	2
55	1093	68	6	1
55	1534	45	6	0
159	1	0	0	0
159	1	1	0	0
312	197	8	0	1
312	233	37	5	5
392	1069	94	5	5
392	140	52	1	1
596	1006	131	5	1
596	64	8	0	0
55	31	29	0	0
55	113	2	1	0
159	0	0	0	0
159	829	409	0	4
312	231	6	4	13
312	7	3	0	1
392	895	123	15	36
392	1	0	0	0
596	1090	123	9	3
596	82	16	0	0
106	1135	61	1	1
106	949	107	6	2
179	1126	107	24	38
179	1150	141	47	71
318	1463	143	61	165
318	1545	110	101	278
439	8	8	0	0
439	16	9	0	0
682	43	30	4	4
682	14	5	0	0
106	851	48	3	0
106	787	295	0	0
179	2070	334	191	259
179	11	7	0	0
318	1181	91	65	169
318	16	8	1	0
439	8	8	0	0
439	5	5	0	0
682	0	0	0	0
682	404	237	9	10
57	1669	216	124	155
57	121	73	8	9
115	16	14	0	0
115	14	13	0	0
1111	2	0	0	0
1111	3	0	1	0
368	622	180	57	56
368	662	177	60	46
521	60	14	1	2
521	513	59	17	6
57	1244	231	96	61
57	385	258	0	7
115	6	5	0	0
115	49	41	0	0
1111	1	0	0	0
1111	4	4	0	0
368	624	127	48	131
368	1	1	0	0
521	203	20	2	2
521	21	14	0	0
75	1898	289	67	63
75	1709	142	44	90
120	876	65	81	154
120	1014	59	50	154
207	99	42	2	4
207	653	262	4	11
379	7	3	0	0
379	221	82	7	0
583	3	3	0	0
583	887	188	1	1
75	2237	155	81	134
75	22	19	0	0
120	2077	137	241	444
120	184	142	1	0
207	456	115	10	16
207	34	11	0	0
379	8	5	1	0
379	127	46	4	0
583	652	199	2	0
583	13	9	0	0
82	0	0	0	0
82	320	45	12	0
139	271	93	4	3
139	28	6	2	0
291	1419	201	54	2
291	1744	343	128	32
450	111	105	0	2
450	7	7	0	0
627	392	174	8	6
627	171	106	3	3
82	167	39	3	1
82	334	163	0	1
139	543	79	7	4
139	3	3	0	0
291	1744	158	70	7
291	1518	105	7	10
450	0	0	0	0
450	298	168	7	7
627	521	124	10	12
627	120	100	1	0
45	16	15	0	0
45	557	108	12	16
118	1419	76	20	48
118	1298	145	24	37
185	1747	165	20	16
185	58	18	1	0
334	588	129	15	34
334	0	0	0	0
547	37	12	4	1
547	265	103	23	8
45	586	374	17	20
45	50	34	0	0
118	1285	152	26	27
118	65	65	0	0
185	890	193	16	21
185	3	3	0	0
334	1792	228	88	139
334	477	202	37	60
547	16	11	3	1
547	6	3	0	0
77	1462	232	53	126
77	636	283	29	37
181	1052	184	157	183
181	231	29	12	9
284	786	245	72	27
284	1424	367	245	82
403	1231	54	10	20
403	902	164	27	51
581	999	53	5	2
581	932	101	22	2
77	820	266	50	78
77	6	2	2	2
181	966	107	98	105
181	44	42	0	1
284	1437	366	158	54
284	1619	218	104	68
403	1114	136	7	28
403	0	0	0	0
581	801	74	7	2
581	0	0	0	0
114	868	146	58	29
114	395	119	18	14
184	23	2	0	0
184	4	3	1	0
287	3	3	0	0
287	6	4	0	0
517	692	53	30	31
517	1754	113	45	87
600	1352	74	42	56
600	1087	71	43	42
114	714	87	45	18
114	8	3	1	3
184	6	0	2	1
184	62	8	0	0
287	720	92	2	0
287	21	6	1	0
517	982	80	20	25
517	55	12	3	3
600	981	137	36	38
600	1157	139	62	105
